5,9.2,6.26,6.26,6.26,0
10,18.23,11.91,11.76,12,0
15,24.41,17.37,16.93,17.49,0
20,29.57,23.34,22.76,22.7,0
25,39.78,28.61,27.9,28.14,0
30,44.28,33.92,33.72,33.91,0
35,52.38,39.78,38.71,38.65,0
40,55.49,44.32,43.48,44.33,0
45,60.21,50.23,48.64,49.1,0
50,69.9,54.7,53.12,53.23,0
55,74.44,60.31,58.22,57.76,0
60,77.14,65.54,63.34,63.54,0
65,81.27,70.24,67.75,68.22,0
70,83.61,74.42,72.95,71.58,0
75,86.31,78.33,75.43,76.66,0
80,88.91,83.74,81.16,81.21,0
85,91.66,87.97,85.45,85.62,0
90,93.8,91.65,90.24,90.47,0
95,96.4,95.48,94.44,94.42,0
100,98.6,98.47,98.17,98.29,0
